Creamed Spinach Dip,1
Black Grape Compote,1
Rhubarb-Mascarpone Mousse Cake,1
Spice Cake with Caramelized Pears and Maple Buttercream,1
Grilled Bell Peppers with Criolla Sauce,1
Warm Berry Preserves,1
Bittersweet Chocolate-Orange Fondue,1
Quick Chicken and Chorizo Paella,1
Brazilian Chicken and Rice with Olives,1
Spicy Sausage and Gorgonzola Pizza,1
Roast Turkey with Pear and Port Gravy,1
Vanilla-Roasted Rhubarb and Strawberries,1
Grilled Balsamic-Marinated London Broil with Red Onions,1
Poached Fish with Spinach in Chili-Tomato Sauce,1
Double-Chocolate Almond Brownies,1
Roasted Chicken Legs with Jalapeño and Tomato,1
Three-Green Pasta with Scallops and Pesto Sauce,1
Grilled Pita with Greek Salad,1
"Sesame, Lemon and Curry Chicken Strips",1
Potato and Broccoli Croquettes,1
Fish Mixed Grill,1
Scallops with Apple-Curry Sauce,1
Brussels Sprouts with Shallots and Wild Mushrooms,1
Crispy Baby Yukon Gold Potatoes,1
"Flatbread Pizzas with Olives, Feta and Artichokes",1
Turkey Samosas,1
Citrus-Sage Roast Turkey Breast with Gravy: Small Crowd,1
Classic Apple Pie,1
Beef and Avocado Fajitas,1
Chicken Skewers with Meyer Lemon Salsa,1
Caramelized Potatoes,1
Romaine with Parmesan Dressing,1
Grilled Rib-Eye Steaks with Cucumber Relish,1
Pan-Seared Rib-Eye Steak with Béarnaise (Entrecôte Béarnaise),1
Hot and Sticky Apricot-Glazed Chicken,1
Chicken Tikka,1
Texas Beef Brisket Chili,1
"Pan-Baked Lemon Sole with Spinach, Olives, and Tomatoes",1
Chicken and Bell Pepper Fajitas,1
Citrus-Sage Roast Turkey with Gravy: Large Crowd,1
Crab-Corn Chowder,1
Orange-Molasses Grilled Chicken,1
Garlicked Chicken,1
Crunchy Fried Shrimp with Cayenne Aïoli,1
Venison Chops with Blackberry Compote,1
"Fried Pastry Spirals with Honey, Sesame, and Walnuts",1
Leek and Potato Soup,1
Twice-Baked Potatoes with Basil and Sour Cream,1
"Duck Breasts with Orange, Honey and Tea Sauce",1
Italian-Style Baked Haddock,1
Moroccan-Style Lamb Chops,1
Herb- and Spice-Roasted Beef Tenderloin with Red Wine-Shallot Sauce,1
Phyllo Cups with Chocolate Mousse and Fresh Fruit,1
Broccoli with Cheddar Vinaigrette,1
Black Bean Chili with Crispy Pork and Poblano Salsa,1
Strawberry-Topped Cheesecake with Graham Cracker Crust,1
Spice-Rubbed Salmon,1
Curried Beef and and Sugar Snap Peas Over Rice Noodles,1
Smoked Cheese and Sausage Lasagna,1
"Three-Day, Twice-Cooked Pork Roast with Fried-Herb Salsa Verde",1
Seared Salmon with Tomatillo Coulis,1
Grilled Steak and Potatoes with Charmoula Sauce,1
Apple and Dried-Cherry Lattice Pie,1
Steamed Sea Bass or Red Snapper,1
Grilled Tea-Brined Turkey with Tea-and-Lemon Gravy,1
Oven-Poached Fish in Olive Oil,1
Rolled Pork Loin Roast Stuffed With Olives and Herbs,1
Maple-Glazed Turkey with Dijon Gravy,1
Brown on Blonde Blondies,1
Short Rib and Vegetable Stew,1
Pork and Ham Loaf with Marmalade-Mustard Glaze,1
Thai Vegetables,1
